gender,age,grade_aggregate,dream_job,fav_sub1,fav_sub2,fav_sub3,interest,learning_style,selected_program
Male ,16,8,Museum Curator,General Knowledge in Art,History,Creative Arts,History,Visual,Bachelor of Arts (General Arts Background)
Male ,14,16,Stockbroker,Mathematics,Economics,Business,Finance,Logical,BSc. Administration - City Campus
Male ,30,22,Sales Representative,Business,Business,English Language,Sales,Social,BSc. Administration - City Campus
Male ,30,11,Bioprocessing Engineer,Biology,Chemistry,Physics,Agriculture,Verbal,BSc. Agricultural Engineering
Male ,27,14,Mobile Applications Developer,ICT,Mathematics,Creative Arts,Technology,Visual,BSc. Information Technology (Full-Feepaying)
Male ,31,16,Financial Analyst,Mathematics,Business,Business,Business,Analytical,BSc. Mathematical Sciences
Male ,31,13,IT Manager,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Female,29,18,Consumer Psychologist,Business,Psychology,Mathematics,Business,Analytical,BSc. Psychology
Female,20,7,Anesthesiologist,Biology,Chemistry,Physics,Science,Logical,Bachelor of Surgery
Female,26,6,Neurosurgeon,Biology,Chemistry,Physics,Science,Reflective,Bachelor of Surgery
Male ,30,6,General Practitioner,Biology,Chemistry,Physics,Science,Logical,Bachelor of Medicine
Female,16,16,Graphic Designer,Creative Arts,General Knowledge in Art,General Knowledge in Art,Graphic Design,Visual,Bachelor of Arts (General Arts Background)
Female,28,12,Chemist,Chemistry,Mathematics,Physics,Science,Analytical,BSc. Physical Sciences
Male ,27,13,Occupational Therapist,Biology,Chemistry,Psychology,Science,Kinesthetic,BSc. Occupational Therapy
Male ,25,6,Cloud Architect,Mathematics,ICT,ICT,Technology,Analytical,BSc. Computer Engineering
Female,16,14,IT Systems Security Manager,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Male ,29,11,User Experience Designer,ICT,Creative Arts,Psychology,Technology,Visual,BSc. Information Technology
Female,28,23,Graphic Designer,Creative Arts,General Knowledge in Art,General Knowledge in Art,Graphic Design,Visual,Bachelor of Arts Full-Fee Paying
Male ,21,21,Data Scientist,ICT,Mathematics,Physics,Science,Analytical,BSc. Information Technology - Distance Education
Female,16,16,Actor,English Language,Theater Arts,Creative Arts,Performing Arts,Kinesthetic,Bachelor of Arts (General Arts Background)
Female,20,18,Soil Scientist,Biology,Chemistry,Physics,Agriculture,Verbal,BSc. Agricultural Engineering
Male ,22,10,Art Teacher,Creative Arts,General Knowledge in Art,Education,Education,Visual,Bachelor of Arts (General Arts Background)
Male ,21,15,Social and Community Service Mgr,English Language,Social Studies,Social Studies,Sociology,Logical,BSc. Family & Child Studies
Female,28,18,Advertising Copywriter,English Language,Creative Arts,Business,Advertising,Verbal,Bachelor of Arts City Campus
Male ,14,6,Emergency Medicine Physician,Biology,Chemistry,Physics,Science,Kinesthetic,Bachelor of Surgery
Female,21,9,Petroleum Geologist,Science,Physics,Chemistry,Science,Analytical,BSc. Earth Sciences
Female,25,6,Respiratory Therapist,Biology,Chemistry,Physics,Health,Verbal,BSc. Respiratory Therapy
Male ,26,13,Clinical Psychologist,Biology,Chemistry,Mathematics,Science,Analytical,BSc. Psychology
Female,15,25,Brand Manager,Business,Business,English Language,Marketing,Social,BSc. Administration - Distance Education
Female,19,22,Bioprocessing Engineer,Biology,Chemistry,Physics,Agriculture,Verbal,BSc. Agricultural Engineering
Male ,21,21,Chief Operating Officer (COO),Business,Economics,Mathematics,Business,Logical,BSc. Administration - City Campus
Male ,29,11,Research and Development Manager,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Female,22,20,Public Relations Specialist,English Language,English Language,Business,Communications,Verbal,BSc. Administration - City Campus
Female,24,8,Neuropsychologist,Biology,Chemistry,Physics,Science,Analytical,BSc. Psychology
Female,31,12,Consumer Psychologist,Business,Psychology,Mathematics,Business,Analytical,BSc. Psychology
Female,19,6,Musician,Theater Arts,Creative Arts,English Language,Music,Auditory,Bachelor of Arts (General Arts Background)
Male ,23,7,Nurse Anesthetist,Biology,Chemistry,Physics,Science,Verbal,BSc. Nursing
Female,19,24,Teacher,English Language,Mathematics,Social Studies,Education,Verbal,BA. Education
Male ,29,14,Research Scientist,Biology,Chemistry,Physics,Science,Analytical,BSc. Nutrition & Dietetics
Male ,24,17,Education Consultant,English Language,Mathematics,Social Studies,Education,Verbal,BA. Education
Female,31,7,Blockchain Engineer,ICT,Mathematics,ICT,Technology,Logical,BSc. Computer Engineering
Female,22,23,Advertising Copywriter,English Language,Creative Arts,Business,Advertising,Verbal,Bachelor of Arts Full-Fee Paying
Male ,21,19,Public Relations Specialist,English Language,Social Studies,Business,Public Relations,Verbal,Bachelor of Arts City Campus
Male ,31,19,Educational Psychologist,Psychology,Social Studies,English Language,Education,Verbal,BSc. Psychology
Male ,21,8,Psychologist,Biology,Chemistry,Psychology,Psychology,Logical,Bachelor of Arts (General Arts Background)
Female,21,11,Computer Systems Analyst,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology
Male ,28,7,Project Manager,Business,Mathematics,Physics,Business,Logical,BSc. Administration - Legon Campus
Male ,15,16,Composite Materials Engineer,Physics,Chemistry,Mathematics,Engineering,Sequential,BSc. Materials Science & Engineering
Male ,22,6,Law Librarian,English Language,Social Studies,French,History,Reflective,Bachelor of Law
Male ,20,7,Art Teacher,Creative Arts,General Knowledge in Art,Education,Education,Visual,Bachelor of Arts (Business/Science/ Vocational Background)
Female,27,22,Operations Manager,Business,Mathematics,Economics,Business,Logical,BSc. Administration - City Campus
Male ,17,13,Museum Curator,General Knowledge in Art,History,Creative Arts,History,Visual,Bachelor of Arts (General Arts Background)
Male ,23,6,Systems Analyst,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology
Female,14,10,Database Administrator,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology
Female,21,9,Cytotechnologist,Biology,Chemistry,Science,Science,Visual,BSc. Medical Laboratory Sciences
Female,14,10,Epidemiologist,Biology,Mathematics,Chemistry,Science,Analytical,BSc. Biological Sciences
Female,20,13,Process Control Engineer,Mathematics,Physics,Chemistry,Food Science,Logical,BSc. Food Process Engineering
Female,22,12,Technical Support Specialist,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology
Male ,26,16,Anthropologist,Social Studies,History,English Language,Anthropology,Global,Bachelor of Arts (General Arts Background)
Female,23,6,Epidemiologist,Biology,Mathematics,Chemistry,Science,Analytical,BSc. Biological Sciences
Male ,29,9,Business Intelligence Developer,Business,ICT,Mathematics,Business,Analytical,BSc. Computer Engineering
Female,23,6,Nuclear Medicine Technologist,Biology,Physics,Chemistry,Science,Naturalistic,BSc. Diagnostic Radiography
Female,21,6,Graphic Designer,Creative Arts,General Knowledge in Art,General Knowledge in Art,Graphic Design,Visual,Bachelor of Arts (General Arts Background)
Male ,26,10,Seismologist,Science,Physics,Mathematics,Science,Analytical,BSc. Earth Sciences
Female,28,9,Actor,English Language,Theater Arts,Creative Arts,Performing Arts,Kinesthetic,Bachelor of Arts (Business/Science/ Vocational Background)
Female,28,18,Entrepreneur,Business,Economics,Mathematics,Business,Global,BSc. Administration - City Campus
Female,26,14,Writer,English Language,Creative Arts,History,Literature,Linguistic,Bachelor of Arts (General Arts Background)
Male ,15,12,Childcare Center Director,English Language,Psychology,Education,Psychology,Social,BSc. Family & Child Studies
Female,20,16,Art Therapist,Creative Arts,Psychology,Biology,Psychology,Verbal,Bachelor of Arts (General Arts Background)
Female,28,11,Cyber Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology
Male ,18,17,Composite Materials Engineer,Physics,Chemistry,Mathematics,Engineering,Sequential,BSc. Materials Science & Engineering
Female,24,20,Petroleum Geologist,Science,Physics,Chemistry,Science,Analytical,BSc. Earth Sciences
Male ,25,7,Immigration Lawyer,English Language,Social Studies,French,Languages,Intercultural,Bachelor of Law
Female,31,7,Hardware Design Engineer,General Knowledge in Art,Physics,Mathematics,Technology,Spatial,BSc. Computer Engineering
Male ,16,6,Software Architect,Mathematics,ICT,Mathematics,Technology,Logical,BSc. Computer Engineering
Female,15,7,Art Therapist,Creative Arts,Psychology,Biology,Psychology,Verbal,Bachelor of Arts (General Arts Background)
Male ,18,9,Educational Psychologist,Psychology,Social Studies,English Language,Education,Verbal,BSc. Psychology
Female,26,6,Psychiatrist,Biology,Psychology,English Language,Arts,Solitary,Bachelor of Medicine
Male ,17,8,Textile Designer,Creative Arts,General Knowledge in Art,English Language,Fashion,Visual,BSc. Food & Clothing
Female,23,20,Fashion Designer,Creative Arts,English Language,French,Fashion,Visual,BSc. Food & Clothing
Male ,25,10,Data Scientist,Science,Mathematics,Mathematics,,Logical,BSc. Computer Engineering (Full-Feepaying)
Male ,18,14,Museum Curator,General Knowledge in Art,History,Creative Arts,History,Visual,Bachelor of Arts (General Arts Background)
Male ,17,7,Trauma Surgeon,Biology,Chemistry,Physics,Science,Verbal,Bachelor of Surgery
Male ,19,6,Network and Computer Systems Administrator,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology
Female,17,11,Animal Behaviorist,Biology,Psychology,Biology,Science,Linguistic,Doctor of Veterinary Medicine
Female,26,10,Market Research Analyst,Mathematics,Mathematics,Business,Marketing,Logical,BSc. Administration - Legon Campus (Full-Fee Paying)
Male ,30,12,Application Analyst,ICT,ICT,Mathematics,Technology,Logical,BSc. Mathematical Sciences
Female,26,9,Business Intelligence Analyst,Business,Mathematics,ICT,Business,Analytical,BSc. Computer Engineering
Male ,20,9,Biomedical Equipment Technician,Physics,General Knowledge in Art,Mathematics,Technology,Visual,BSc. Biomedical Engineering
Female,17,16,Neuropsychologist,Biology,Chemistry,Physics,Science,Analytical,BSc. Psychology
Female,19,8,Mobile Applications Developer,ICT,Mathematics,English Language,Technology,Visual,BSc. Computer Engineering
Male ,20,24,Precision Agriculture Specialist,Mathematics,Agricultural Science,Physics,Agriculture,Logical,BSc. Agricultural Engineering (Full-Feepaying)
Female,26,12,Veterinary Technician,Biology,Chemistry,Mathematics,Science,Kinesthetic,Doctor of Veterinary Medicine
Male ,23,9,Product Development Scientist,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Female,16,24,Curriculum Specialist,English Language,Mathematics,Creative Arts,Education,Analytical,BA. Education
Female,21,7,Dental Equipment Salesperson,General Knowledge in Art,Physics,Mathematics,Technology,Visual,Bachelor of Dental Surgery
Male ,20,6,Orthopedic Surgeon,Biology,Chemistry,Physics,Science,Sequential,Bachelor of Surgery
Female,29,17,Education Researcher,Mathematics,Science,English Language,Education,Analytical,BSc. Education
Male ,18,17,Stockbroker,Mathematics,Economics,Business,Finance,Logical,BSc. Administration - City Campus
Female,18,6,Forensic Science Technician,Biology,Chemistry,Physics,Science,Logical,BSc. Medical Laboratory Sciences
Male ,16,9,Stockbroker,Mathematics,Economics,Business,Finance,Logical,BSc. Administration - Legon Campus
Male ,30,9,Network and Computer Systems Administrator,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology
Male ,19,8,Midwife,Biology,Chemistry,Physics,Science,Kinesthetic,BSc. Midwifery
Female,16,7,Robotics Engineer,Mathematics,Physics,ICT,Engineering,Spatial,BSc. Mathematical Sciences
Female,19,6,Cyber Security Engineer,Mathematics,Mathematics,ICT,Technology,Analytical,BSc. Computer Engineering
Male ,21,6,Pediatrician,Biology,Chemistry,Physics,Science,Verbal,Bachelor of Medicine
Female,26,7,Sculptor,Creative Arts,English Language,General Knowledge in Art,Arts,Kinesthetic,Bachelor of Fine Arts
Female,18,7,Neurosurgeon,Biology,Chemistry,Physics,Science,Reflective,Bachelor of Surgery
Female,19,6,Drug Safety Associate,Biology,Chemistry,Mathematics,Science,Logical,Doctor of Pharmacy
Male ,23,9,Mobile Applications Developer,ICT,Mathematics,Creative Arts,Technology,Visual,BSc. Information Technology
Female,19,6,Registered Dietitian,Biology,Chemistry,Mathematics,Nutrition,Visual,BSc. Nutrition & Dietetics
Male ,21,19,Event Planner,Business,Creative Arts,English Language,Event Planning,Social,Bachelor of Arts City Campus
Female,24,6,Orthodontist,Biology,Mathematics,Physics,Science,Visual,Bachelor of Dental Surgery
Female,14,7,Child Life Specialist,English Language,Social Studies,Psychology,Psychology,Social,BSc. Family & Child Studies
Female,19,13,Entrepreneur,Business,Economics,Mathematics,Business,Global,BSc. Administration - Legon Campus (Full-Fee Paying)
Female,19,23,Foreign Language Teacher,French,Linguistics,Linguistics,Languages,Verbal,Bachelor of Arts City Campus
Male ,14,21,Anthropologist,Social Studies,History,English Language,Anthropology,Global,Bachelor of Arts City Campus
Male ,26,20,Anthropologist,Social Studies,History,English Language,Anthropology,Global,Bachelor of Arts Full-Fee Paying
Female,28,21,Speech-language pathologist,Biology,English Language,Psychology,Linguistic,Auditory,BSc. Biological Sciences
Female,26,12,IT Project Manager,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology
Female,24,18,Quality Control Technician,Physics,Chemistry,Mathematics,Technology,Tactile,BSc. Materials Science & Engineering (Full-Feepaying)
Female,21,11,Food Process Engineer,Mathematics,Physics,Chemistry,Agriculture,Logical,BSc. Agricultural Engineering
Female,17,6,Blockchain Engineer,ICT,Mathematics,ICT,Technology,Logical,BSc. Computer Engineering
Female,17,17,Paleontologist,Science,Biology,Chemistry,Science,Verbal,BSc. Earth Sciences
Female,27,9,Graphic Designer,Creative Arts,General Knowledge in Art,General Knowledge in Art,Graphic Design,Visual,Bachelor of Arts (General Arts Background)
Male ,23,14,Seismologist,Science,Physics,Mathematics,Science,Analytical,BSc. Earth Sciences
Female,20,18,Primary School Teacher,English Language,Mathematics,Creative Arts,Education,Visual,BSc. Education
Male ,15,16,Artificial Intelligence (AI) Engineer,Mathematics,ICT,Physics,Technology,Logical,BSc. Mathematical Sciences
Female,30,16,Agricultural Equipment Design Engineer,Mathematics,Physics,General Knowledge in Art,Agriculture,Logical,BSc. Agricultural Engineering
Female,24,6,Irrigation Engineer,Mathematics,Physics,Chemistry,Agriculture,Logical,BSc. Agricultural Engineering
Male ,18,12,Event Planner,Business,Creative Arts,English Language,Event Planning,Social,Bachelor of Arts (Business/Science/ Vocational Background)
Male ,21,7,Pharmaceutical Sales Representative,Business,Business,English Language,Business,Social,Doctor of Pharmacy
Female,15,8,Accountant,Mathematics,Economics,Business,Accounting,Logical,BSc. Administration - Legon Campus
Male ,29,16,Agricultural Equipment Design Engineer,Mathematics,Physics,General Knowledge in Art,Agriculture,Logical,BSc. Agricultural Engineering
Male ,28,19,Anthropologist,Social Studies,History,English Language,Anthropology,Global,Bachelor of Arts City Campus
Female,20,7,Cyber Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology
Female,21,6,Mobile Applications Developer,ICT,Mathematics,English Language,Technology,Visual,BSc. Computer Engineering
Female,17,6,Public Health Dentist,Biology,Chemistry,English Language,Science,Analytical,Bachelor of Dental Surgery
Male ,22,14,Information Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Male ,25,25,Chief Operating Officer (COO),Business,Economics,Mathematics,Business,Logical,BSc. Administration - Distance Education
Female,31,7,Women's Health Nurse Practitioner,Biology,Chemistry,Physics,Science,Verbal,BSc. Midwifery
Male ,31,7,Agricultural Biotechnology Researcher,Biology,Chemistry,Physics,Agriculture,Verbal,BSc. Agricultural Engineering
Female,15,6,Physician,Biology,Chemistry,Physics,Science,Auditory,Bachelor of Medicine
Female,25,14,Petroleum Geologist,Science,Physics,Chemistry,Science,Analytical,BSc. Earth Sciences
Female,21,12,Medical Scientist,Biology,Chemistry,Physics,Science,Analytical,BSc. Biomedical Engineering (Full-Feepaying)
Female,15,16,Business Development Manager,Business,Economics,Mathematics,Business,Verbal,BSc. Administration - City Campus
Female,29,10,Neurological Physical Therapist,Biology,Psychology,Physics,Science,Logical,BSc. Physiotherapy
Male ,14,19,Psychologist,Biology,English Language,Mathematics,Science,Verbal,BSc. Psychology
Male ,31,12,Accountant,Mathematics,Economics,Business,Accounting,Logical,BSc. Administration - Legon Campus (Full-Fee Paying)
Male ,27,6,Research Laboratory Technician,Biology,Chemistry,Physics,Science,Analytical,BSc. Medical Laboratory Sciences
Male ,31,13,Network and Computer Systems Administrator,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Male ,21,8,Zoologist,Biology,Chemistry,Geography,Animals,Naturalistic,BSc. Biological Sciences
Female,18,12,Medical Scientist,Biology,Chemistry,Physics,Science,Analytical,BSc. Biomedical Engineering (Full-Feepaying)
Female,17,17,Consultant,Business,Mathematics,English Language,Business,Logical,BSc. Administration - City Campus
Female,25,6,Paleontologist,Science,Biology,Chemistry,Science,Verbal,BSc. Earth Sciences
Female,14,7,Anesthesiologist,Biology,Chemistry,Physics,Science,Logical,Bachelor of Surgery
Male ,31,12,Agricultural Economist,Mathematics,Economics,Business,Agriculture,Logical,BSc. Agricultural Engineering
Female,22,6,Neurosurgeon,Biology,Chemistry,Physics,Science,Reflective,Bachelor of Surgery
Female,19,8,Cytotechnologist,Biology,Chemistry,Science,Science,Visual,BSc. Medical Laboratory Sciences
Male ,18,13,IT Manager,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Male ,19,10,Medical laboratory technician,Biology,Chemistry,Mathematics,Science,Visual,BSc. Biological Sciences
Male ,28,7,Psychologist,Biology,English Language,Mathematics,Science,Verbal,BSc. Psychology
Male ,28,8,Business Intelligence Analyst,Business,Mathematics,ICT,Business,Analytical,BSc. Computer Engineering
Male ,23,6,Data Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Computer Engineering
Female,31,13,Cyber Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Female,15,8,Small Business Owner,Business,Business,Economics,Business,Global,BSc. Administration - Legon Campus
Male ,27,6,Emergency Medicine Physician,Biology,Chemistry,Physics,Science,Kinesthetic,Bachelor of Surgery
Female,22,7,Textbook Editor,English Language,Social Studies,Mathematics,Literature,Linguistic,B.Ed. (JHS Specialism)
Female,30,23,Data Analyst,Mathematics,Mathematics,Computer Science,Data Analysis,Logical,BSc. Administration - City Campus
Female,16,17,Public Relations Specialist,English Language,English Language,Business,Communications,Verbal,BSc. Administration - City Campus
Male ,27,16,Advertising Manager,English Language,Business,Business,Marketing,Verbal,BSc. Administration - City Campus
Female,25,11,Science Writer,English Language,Science,English Language,Literature,Verbal,BSc. Physical Sciences
Male ,29,9,Anthropologist,Social Studies,History,English Language,Anthropology,Global,Bachelor of Arts (General Arts Background)
Male ,30,6,Computer Systems Analyst,Mathematics,ICT,Physics,Technology,Logical,BSc. Mathematical Sciences
Male ,27,6,Phlebotomist,Biology,Chemistry,Science,Science,Kinesthetic,BSc. Medical Laboratory Sciences
Female,17,6,Cloud Architect,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology
Female,27,14,Entrepreneur,Business,Economics,Mathematics,Business,Global,BSc. Administration - Legon Campus (Full-Fee Paying)
Female,15,13,Zoologist,Biology,Chemistry,Geography,Animals,Naturalistic,BSc. Biological Sciences
Female,28,6,Entrepreneur,Business,Economics,Mathematics,Business,Global,BSc. Administration - Legon Campus
Male ,15,7,Family Medicine Physician,Biology,Chemistry,Physics,Science,Social,Bachelor of Medicine
Female,18,13,Chemist,Chemistry,Mathematics,Physics,Science,Analytical,BSc. Physical Sciences
Female,23,20,Food Process Engineer,Mathematics,Physics,Chemistry,Agriculture,Logical,BSc. Agricultural Engineering
Female,22,14,Process Control Engineer,Mathematics,Physics,Chemistry,Food Science,Logical,BSc. Food Process Engineering
Male ,25,14,Systems Analyst,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Male ,25,14,Anthropologist,Social Studies,History,English Language,Anthropology,Global,Bachelor of Arts (General Arts Background)
Male ,27,14,Mathematician,Mathematics,Physics,ICT,Science,Analytical,BSc. Mathematical Sciences
Male ,14,7,Labor Lawyer,English Language,Social Studies,French,Politics,Verbal,Bachelor of Law
Male ,16,15,Research and Development Manager,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Male ,27,24,Historian,History,Social Studies,English Language,History,Verbal,Bachelor of Arts Full-Fee Paying
Female,22,9,Consultant,Business,Mathematics,English Language,Business,Logical,BSc. Administration - Legon Campus
Female,20,7,Anesthesiologist,Biology,Chemistry,Physics,Science,Logical,Bachelor of Surgery
Male ,29,23,Data Analyst,Mathematics,Mathematics,Computer Science,Data Analysis,Logical,BSc. Administration - City Campus
Female,15,17,Educational Researcher,English Language,Mathematics,Science,Education,Analytical,BA. Education
Female,26,11,Supply Chain Manager,Mathematics,Business,Economics,Business,Logical,BSc. Administration - Legon Campus (Full-Fee Paying)
Female,27,9,Graphic Designer,Creative Arts,General Knowledge in Art,General Knowledge in Art,Graphic Design,Visual,Bachelor of Arts (Business/Science/ Vocational Background)
Female,29,8,Actor,English Language,Theater Arts,Creative Arts,Performing Arts,Kinesthetic,Bachelor of Arts (General Arts Background)
Female,25,17,Neuropsychologist,Biology,Chemistry,Physics,Science,Analytical,BSc. Psychology
Male ,31,10,Event Planner,Business,Creative Arts,English Language,Event Planning,Social,Bachelor of Arts (General Arts Background)
Male ,20,13,Psychologist,Biology,Chemistry,Psychology,Psychology,Logical,Bachelor of Arts (General Arts Background)
Female,22,19,Agricultural Economist,Mathematics,Economics,Business,Agriculture,Logical,BSc. Agricultural Engineering
Female,31,15,Special Education Teacher,English Language,Mathematics,Social Studies,Education,Verbal,BA. Education
Male ,23,6,Psychologist,Biology,Chemistry,Psychology,Psychology,Logical,Bachelor of Arts (General Arts Background)
Male ,30,12,Veterinarian,Biology,Chemistry,Mathematics,Animals,Kinesthetic,BSc. Biological Sciences
Male ,30,16,Research and Development Manager,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Female,30,8,Medical Laboratory Technician,Biology,Chemistry,Physics,Science,Visual,BSc. Medical Laboratory Sciences
Female,19,14,Writer,English Language,Creative Arts,History,Literature,Linguistic,Bachelor of Arts (General Arts Background)
Male ,30,9,Genetic Counselor,Biology,Psychology,Social Studies,Science,Verbal,BSc. Biomedical Engineering
Male ,31,12,User Experience Designer,ICT,Creative Arts,Psychology,Technology,Visual,BSc. Information Technology
Female,17,14,Cloud Architect,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Male ,31,7,Surgeon,Biology,Chemistry,Physics,Science,Visual,Bachelor of Surgery
Male ,26,12,Museum Curator,General Knowledge in Art,History,Creative Arts,History,Visual,Bachelor of Arts (General Arts Background)
Female,20,10,School Counselor,Psychology,Social Studies,English Language,Social,Social,BSc. Psychology
Male ,29,9,Radiographer,Biology,Physics,Chemistry,Science,Kinesthetic,BSc. Diagnostic Radiography
Male ,17,6,Trauma Surgeon,Biology,Chemistry,Physics,Science,Verbal,Bachelor of Surgery
Female,14,7,Blockchain Engineer,ICT,Mathematics,ICT,Technology,Logical,BSc. Computer Engineering
Male ,24,12,Occupational Therapist,English Language,Biology,Chemistry,Arts,Verbal,BSc. Occupational Therapy
Male ,27,7,Pharmaceutical Scientist,Biology,Chemistry,Physics,Science,Analytical,Doctor of Pharmacy
Female,17,21,Environmental Scientist,Biology,Chemistry,Science,Science,Naturalistic,BSc. Physical Sciences
Female,19,18,Drama Teacher,Theater Arts,English Language,Creative Arts,Drama,Visual,BSc. Education
Male ,17,18,Veterinarian,Biology,Chemistry,Mathematics,Animals,Kinesthetic,BSc. Biological Sciences
Female,25,7,Data Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Computer Engineering
Female,31,7,Cytotechnologist,Biology,Chemistry,Science,Science,Visual,BSc. Medical Laboratory Sciences
Male ,16,8,Sales Representative,Business,Business,English Language,Sales,Social,BSc. Administration - Legon Campus
Male ,27,22,Human Resources Manager,Psychology,Economics,Mathematics,Business,Social,BSc. Administration - City Campus
Male ,27,10,Data Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Computer Engineering (Full-Feepaying)
Female,15,9,Dental Product Sales Representative,Business,Business,English Language,Business,Social,Bachelor of Dental Surgery
Female,23,7,Family Lawyer,English Language,Social Studies,French,Psychology,Interpersonal,Bachelor of Law
Female,25,12,Environmental health and safety specialist,Chemistry,Biology,Physics,Science,Global,BSc. Biological Sciences
Female,22,18,Art Therapist,Creative Arts,Psychology,Biology,Psychology,Verbal,Bachelor of Arts Full-Fee Paying
Female,16,9,Registered Dietitian,Biology,Chemistry,Mathematics,Nutrition,Visual,BSc. Nutrition & Dietetics
Female,29,6,Biomedical Engineer,Biology,Chemistry,Physics,Science,Logical,BSc. Biomedical Engineering
Female,15,8,Database Administrator,Mathematics,ICT,Physics,Technology,Analytical,BSc. Mathematical Sciences
Male ,18,6,Pediatric Nurse,Biology,Chemistry,English Language,Science,Musical,BSc. Nursing
Female,20,10,Shelter Veterinarian,Biology,Psychology,Social Studies,Science,Global,Doctor of Veterinary Medicine
Male ,19,8,Midwife,Biology,Chemistry,Physics,Science,Kinesthetic,BSc. Midwifery
Male ,23,18,Food Safety Specialist,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Female,28,11,Cloud Architect,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology
